,ID,age,gen,edu
0,8FA7C82D0D9B05A17225D9E9F98814DF,1,1,5
1,2AD99288C8DC9FF267EC8E64ECEDD12E,2,1,4
2,7FEAB95EFE061E05A966084F0966F3F8,1,1,5
3,888A5A609252B4C28C416C784E045013,1,2,5
4,574C0D49FE9CC606381D45DD19EBF9E9,2,1,4
5,75448ACB877BE26E56A9B6B1FA930FE4,2,1,4
6,D55B06F8401E4BCB663B0AA8A4BBD02D,4,2,3
7,660E4C1C0A2B3BF839656C0B9BF3B24E,3,1,3
8,679B9B40B1545CEE967503FB0685C2C6,2,1,5
9,3AE234C85205784E796E90E130661621,2,1,4
10,EE467DD7052C4ACAD0C776D06BCCE08A,1,1,5
11,BA89955BB1F89FD09F3060AE12517B8A,2,2,4
12,89F11ADFB720F7D9BABB263F8091AA4F,2,1,4
13,DE5700E0C0CAD40F866DB1705051D142,3,1,4
14,FA1A1A0D92897F597D833E3D13AC4D4D,2,1,4
15,ECD214919D4AC5535CB14A843BD23AD1,1,1,5
16,434FC86B58A4A4FA83D0EDF63DF53E50,1,2,5
17,5A583EAE745A4F4F4C8E64A947217EAE,2,1,4
18,93E207BBABCA3F2544F7C431ADD21C02,1,1,5
19,B61F39EA84FA0ECAC9315F7BB76F4196,2,1,5
20,01135FF56D2287CD45111B76093E3C11,2,1,5
21,5D8863FC48208FB3EA6D2AE4B6CC7E72,1,1,5
22,940B32FC516D8026A42B15F91EE0F8BD,1,1,4
23,EF458E1174F365A19A5F7C9CD27CAC64,4,2,3
24,F4EEC239843FC62D49B45321D2CBB3BF,2,2,4
25,CBC56D456B83E721ED733EDA307E3FD3,3,1,4
26,3183DF61F11CCF3107ABAB977B4E99E9,3,2,3
27,F25C7A1E40F6218E08D55A8ED8A2DFFA,1,1,5
28,876A07CEB671230FC6360ED9B142C60C,1,2,5
29,95ED8C1C7A61DACE74E6A2042F04C482,1,2,5
30,8097AD3CE4F20AFF210C3E86730CFFCE,1,1,5
31,D852682F04C01E21BBDB1BF063DDC04E,4,1,3
32,7AC72E86A34EF492C4D106302722E187,2,2,4
33,284D2373297AB166DE74B798D08D032D,3,1,4
34,FD5AC442753C70A7987CFBFDFA3C0D0F,2,2,4
35,5CCDC7521DDBEB47B911705EE5E5C7CE,2,2,4
36,3C1AA1CFA289A70F50DD8D4F8502DBC6,2,1,5
37,7B0EF97DD2A01D9D22465CBEB89BCB17,1,1,5
38,0B95B4CB3E45541FD59A8367B7DE57A8,3,2,4
39,4D0DBDD044FB788CD7CF2DBD4B6DA139,2,2,5
40,0327E9716AFD9661AC8E145182E4DD56,3,1,3
41,8AB16C9E4811166C24984CA433829659,3,1,4
42,3E04A29E05A6339D8C111988AD1F3653,2,1,4
43,7D6C88C4B3160119614A97DF2281220D,2,1,5
44,7783569F1D3F57F8510DF0C2E1E79E80,4,1,3
45,B494847B3933D3508C5DD1C8F588F6D8,1,1,5
46,9DE7B16742901222996E2605569F35BF,1,1,5
47,7478336CE6FA4EC09D811687FFDFD114,1,2,5
48,B7D37C13E35FB1DD8850C483FC40E693,3,1,4
49,6BDDEFFDBF6A26CD54890FB598FDC686,4,2,4
50,A0BBB68BC0305B7CC13952894E76B71A,2,1,4
51,D2B66608F81EFF220C73A12939D07175,1,1,5
52,316B5CBF34B6FAFCD5FA791A63D15C2F,1,2,5
53,32958B6A6073A74AD3B678DA4819885E,1,1,5
54,21C9C3DCB489A04D2625EE2C4A5A022F,2,2,5
55,CBDDAA21A5C6DE9151C9872233DC2514,2,1,4
