trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-30.957499485664666,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-61.51065847810546,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-100.38502261156192,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-14.109975335104343,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-34.69049101433522,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-60.35068333640453,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-126.3152840701056,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-92.22518469037412,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-41.58405279814545,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-83.66484938304538,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,6,-35.3347855010097,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-57.14552188775938,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,10,-18.214078584151547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-176.13235010918848,"{0: 17, 1: 1, 2: 1, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-97.61105713077411,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-78.81659975709982,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-72.6298097473283,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,20.442527035090727,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-24.78217568565929,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-19.223973124313147,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,14,17.380620511812637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,14,-44.32031791622652,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,5,16.80519118106758,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,26.7653550585505,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,6,1.110009881654984,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,8,-13.10522923970841,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,24.052830840397018,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,18.006117742059644,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,7,1.2022096995941314,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,4,8.691688360031637,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
