trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.99386817294862,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.83046506064852,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.38769044325228,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.95373432356246,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.89671795398132,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-155.222625815823,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.03773796204433,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.0998760400077,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.25262961314999,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.83711804363854,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.131412821419076,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.67524778979221,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-254.85218436060148,"{0: 16, 1: 1, 2: 7, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.12132695060964,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.2840986179053,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.57509391266805,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.97895991349628,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.21061412741199,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.1594657147948,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-167.68863525613926,"{0: 23, 1: 3, 2: 4, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.6772272961289,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.34822914055603,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.58088761879667,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.31111260228846,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.4523826051312,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.27757089515646,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.59947899611495,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.2388704005914,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-131.461193284073,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-166.56975738327174,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
